Geography,type_of_beverage,Metric,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,Total_alcoholic_beverages,Value_for_total_per_capita_sales,697,716.1,730.3,743.3,754.6,759.8,775.2,798.4,793.8,799.5,774.1
Canada,Total_alcoholic_beverages,Volume_for_total_per_capita_sales,101.4,100.9,102,101.6,100.8,99.5,98.6,99.5,97.5,94.5,88.2
Canada,Total_alcoholic_beverages,Absolute_volume_for_total_per_capita_sales,8,8,8.1,8.2,8.2,8,8.1,8.3,8.1,7.8,7.3
Canada,Spirits,Value_for_total_per_capita_sales,162.5,165,169.4,174,179.4,182.1,190.1,202.8,208.7,210.7,203.2
Canada,Spirits,Volume_for_total_per_capita_sales,5.3,5.4,5.5,5.6,5.6,5.6,5.7,6,6,5.9,5.5
Canada,Spirits,Absolute_volume_for_total_per_capita_sales,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2
Canada,Wines,Value_for_total_per_capita_sales,216.2,224.5,231.7,237.6,243.2,240.1,248.5,250.8,242.9,239.4,231.5
Canada,Wines,Volume_for_total_per_capita_sales,15.7,16.1,16.5,16.7,16.9,16.3,16.7,16.8,16,15.2,14.1
Canada,Wines,Absolute_volume_for_total_per_capita_sales,2,2,2.1,2.1,2.1,2,2.1,2.1,2,1.9,1.8
Canada,Beer,Value_for_total_per_capita_sales,294.7,301.3,301.3,301.7,300.4,301.7,295.2,287.5,278.5,284.1,271.8
Canada,Beer,Volume_for_total_per_capita_sales,76.1,74.8,74.9,73.8,72.3,71.1,68.7,66.3,64,62.1,57.5
Canada,Beer,Absolute_volume_for_total_per_capita_sales,3.8,3.7,3.7,3.6,3.6,3.5,3.4,3.3,3.2,3.1,2.9
Canada,Ciders_Coolers_and_Other_Refreshment_Beverages,Value_for_total_per_capita_sales,23.5,25.4,27.8,29.9,31.6,35.9,41.4,57.3,63.7,65.2,67.6
Canada,Ciders_Coolers_and_Other_Refreshment_Beverages,Volume_for_total_per_capita_sales,4.3,4.6,5.2,5.5,5.9,6.6,7.5,10.3,11.5,11.3,11.1
Canada,Ciders_Coolers_and_Other_Refreshment_Beverages,Absolute_volume_for_total_per_capita_sales,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.7,0.7
Newfoundland,Total_alcoholic_beverages,Value_for_total_per_capita_sales,948.3,982.1,997.1,1006.4,1029.5,1009.7,1016.1,1069.7,1084,1102.8,1079.5
Newfoundland,Total_alcoholic_beverages,Volume_for_total_per_capita_sales,113.9,115.9,115.7,113.8,112.1,108.8,108.9,112.4,111.8,109,103.3
Newfoundland,Total_alcoholic_beverages,Absolute_volume_for_total_per_capita_sales,8.9,9.4,9.3,9.2,9.1,8.8,8.8,9.2,9,8.7,8.3
Newfoundland,Spirits,Value_for_total_per_capita_sales,280.4,282.1,282.5,284.9,285,278.9,287.1,305.2,302.3,299.7,297.4
Newfoundland,Spirits,Volume_for_total_per_capita_sales,8.7,8.6,8.5,8.2,8.2,7.9,7.9,8.3,8.1,7.7,7.4
Newfoundland,Spirits,Absolute_volume_for_total_per_capita_sales,3.4,3.3,3.3,3.2,3.2,3,3.1,3.2,3.1,3,2.8
Newfoundland,Wines,Value_for_total_per_capita_sales,150.8,160.2,171.7,177.5,180.9,172,174.9,171.4,178.8,177.6,176.1
Newfoundland,Wines,Volume_for_total_per_capita_sales,9,9.3,9.8,9.9,10.1,9.6,9.6,9.5,9.5,9.1,8.8
Newfoundland,Wines,Absolute_volume_for_total_per_capita_sales,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.1,1.1
Newfoundland,Beer,Value_for_total_per_capita_sales,486.5,503.5,504.8,505.4,523.1,514.9,505.6,522.4,526,544.4,525
Newfoundland,Beer,Volume_for_total_per_capita_sales,92.4,93.5,92.8,91.1,88.9,86,85.4,85.9,84.8,82.8,78.1
Newfoundland,Beer,Absolute_volume_for_total_per_capita_sales,4.2,4.6,4.6,4.5,4.4,4.3,4.2,4.3,4.2,4.1,3.9
Newfoundland,Ciders_Coolers_and_Other_Refreshment_Beverages,Value_for_total_per_capita_sales,30.7,36.3,38,38.6,40.6,43.9,48.5,70.7,77,81,81
Newfoundland,Ciders_Coolers_and_Other_Refreshment_Beverages,Volume_for_total_per_capita_sales,3.8,4.5,4.7,4.6,5,5.3,5.9,8.7,9.4,9.4,9.1
Newfoundland,Ciders_Coolers_and_Other_Refreshment_Beverages,Absolute_volume_for_total_per_capita_sales,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5
Nova_Scotia,Total_alcoholic_beverages,Value_for_total_per_capita_sales,733.4,731.2,750,756.7,766.9,763.1,785.5,839.2,841,851.3,826
Nova_Scotia,Total_alcoholic_beverages,Volume_for_total_per_capita_sales,96.7,95.9,97.3,96.6,96.7,95.9,96.3,100.8,99.3,96.1,88.8
Nova_Scotia,Total_alcoholic_beverages,Absolute_volume_for_total_per_capita_sales,7.7,7.7,7.8,7.7,7.8,7.7,7.8,8.2,8.1,7.8,7.2
Nova_Scotia,Spirits,Value_for_total_per_capita_sales,204.5,198.9,201.3,201.8,203.2,201,208.1,227.7,226.8,228.5,222.7
