Geography,Products_and_product_groups,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Canada,All_items,123.1,124.3,126.8,129.5,131.7,133.6,136.8,138.2,145.3,153.9,158.3,161.3
Canada,Food,133,139.1,144.6,141.5,144.7,148.7,153.5,155,163.9,181,188.1,187
Canada,Food_purchased_from_stores,132.6,139.7,146.1,140.3,142.6,146.1,151.6,151.7,161.5,179.9,186,189.5
Canada,Food_purchased_from_restaurants,133.8,137.5,141,144.3,149.6,154.9,158.2,162.6,169.2,183,192.4,182.5
Canada,Food_purchased_from_table-service_restaurants,134.9,138.7,142.5,146,151,155.7,159,163.2,170.1,183.2,192.2,181.7
Canada,Food_purchased_from_fast_food_and_take-out_restaurants,131.1,134.7,137.7,140.3,146.5,153,156.4,161.3,167.2,182.3,192.3,183.5
Canada,Food_purchased_from_cafeterias_and_other_restaurants,133.8,137.6,141.1,144.4,149.7,154.9,158.2,162.7,169.3,183.3,192.8,183.3
Canada,Shelter,130.5,133.1,134.6,137.8,139.7,143,146.4,148.4,157.6,168,178.4,186.4
Canada,Rented_accommodation,116.3,117.9,118.9,119.6,120.6,123.3,126.2,127.3,131.4,139,149.8,158.8
Canada,Owned_accommodation,132.1,134.2,136.7,140.2,143.7,147.6,150.9,154.2,163.6,174.4,186.1,194
Canada,Water_fuel_and_electricity,148.4,154.2,152.4,159,155.8,157.7,161.8,159.8,179,193.4,194.5,198.5
Canada,Transportation,129.2,122.4,125.1,133,137.2,136.6,143.4,144.9,156.9,165.4,167.4,173.1
Canada,Alcoholic_beverages_tobacco_products_and_recreational_cannabis,140.9,149.9,154.5,158.7,163.2,170.6,171.4,172.5,178.2,186.5,194.3,192.3
Canada,Alcoholic_beverages,119.1,121.7,123.9,125.5,127.3,130.3,131.9,132.6,136.1,143.3,148.5,143.3
Canada,Alcoholic_beverages_served_in_licensed_establishments,132.4,134.3,136.6,138.4,140.3,145,147.8,147.7,151.3,158.4,166.8,161.6
Canada,Alcoholic_beverages_purchased_from_stores,113.2,116.1,118.2,119.7,121.4,124,125,126.1,129.7,136.9,140.9,135.8
Canada,Tobacco_products_and_smokers_supplies,163.3,182.9,191.5,200.6,211.2,229.2,240.8,252.5,273.2,290.7,313.1,328.6
Canada,Recreational_cannabis,100,100,100,100,100,100,89.6,82.9,76.3,73.7,71.9,71.2
Newfoundland,All_items,126.7,126.2,129.2,135.3,136.8,137,140,142.1,147.8,155.9,159.8,161
