Geography,Age group,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Canada,All_ages,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38950132,40049088,41262329,41651653
Canada,18_to_22_years,2353322,2335143,2301634,2292482,2312852,2340444,2340664,2309660,2237108,2326281,2440336,2574635,2544127
Canada,18_to_64_years,22776671,22919871,22971648,23107762,23290700,23546526,23787950,23903613,23878955,24269406,24999138,25810103,25901003
Canada,65_years_and_older,5352636,5541888,5721707,5919685,6125483,6337440,6573259,6809521,7045990,7298944,7562124,7835726,8108467
Newfoundland,All_ages,526960,527970,528348,529586,529742,528402,527643,526884,527056,531257,538789,546869,549911
Newfoundland,18_to_22_years,30445,29560,29050,28974,28844,28703,28474,28333,27700,28412,28758,29267,29051
Newfoundland,18_to_64_years,344431,342490,340134,337924,334919,330801,326804,322828,319537,319910,323049,326936,326529
Newfoundland,65_years_and_older,89408,92882,96211,100234,104491,109050,113764,118470,123208,126975,130952,134891,138514
Nova_Scotia,All_ages,939808,937768,937419,942984,952159,962072,975799,989168,999908,1024034,1053005,1082769,1093245
Nova_Scotia,18_to_22_years,60427,58591,58077,57473,57763,58172,58354,58379,56468,57319,58096,59815,58459
Nova_Scotia,18_to_64_years,606365,600580,595909,595041,597872,601498,607020,611533,614548,627505,644957,664298,667210
Nova_Scotia,65_years_and_older,166674,172318,177402,183174,189342,195652,202688,210159,217785,225308,232630,239758,246752
New_Brunswick,All_ages,758261,758657,759226,763322,766697,770497,777387,783432,790802,808869,831103,858293,869682
New_Brunswick,18_to_22_years,46351,44837,43799,43052,42687,42536,42593,42579,42324,43585,44382,46712,47173
New_Brunswick,18_to_64_years,488238,484299,480535,478830,477347,475906,476198,475480,476721,484935,496380,512940,516897
New_Brunswick,65_years_and_older,133417,138915,143781,149103,154387,159916,165909,172296,178652,185107,191378,197263,202747
Ontario,All_ages,13511902,13617763,13709293,13876500,14078499,14326746,14573565,14761811,14842488,15155836,15632481,16144797,16258260
Ontario,18_to_22_years,936767,934141,924694,928555,947572,966856,966257,951583,911847,961976,1028274,1088406,1051753
Ontario,18_to_64_years,8750087,8791066,8812880,8888051,9003194,9155086,9292152,9375785,9376762,9582830,9932460,10292498,10291673
Ontario,65_years_and_older,2048361,2120562,2187820,2260652,2338020,2416265,2502351,2587513,2671337,2763435,2859636,2964438,3069697
Manitoba,All_ages,1263393,1277425,1293598,1314140,1334734,1352687,1370033,1380132,1391924,1413498,1453202,1492144,1509702
Manitoba,18_to_22_years,90357,89751,90371,90754,92816,95060,95754,94441,94258,96690,98236,100329,100264
Manitoba,18_to_64_years,791781,798685,806568,817296,829632,839710,847549,848454,853340,866609,893401,918873,926828
Manitoba,65_years_and_older,182735,187156,191466,196504,202106,208090,215278,222516,229374,236133,243724,251817,260365
Alberta,All_ages,3978532,4081271,4150147,4195427,4237310,4292556,4355377,4407495,4431531,4512731,4688576,4909030,5029346
Alberta,18_to_22_years,265905,266567,265793,262696,261559,263146,264271,263636,261765,269994,283121,305797,314785
Alberta,18_to_64_years,2653146,2716486,2747883,2754614,2764426,2784824,2807291,2820931,2815585,2854458,2968029,3118456,3185533
Alberta,65_years_and_older,445947,464049,481867,502101,524103,548657,577725,606936,636049,668205,705070,742451,779999
British_Columbia,All_ages,4634943,4712691,4765472,4861269,4934202,5020979,5111022,5176101,5226665,5358845,5515296,5671114,5697536
British_Columbia,18_to_22_years,306733,310253,302744,305523,314573,324715,326756,315945,300574,314394,332042,354377,345222
British_Columbia,18_to_64_years,3042585,3087506,3102100,3153889,3189223,3237002,3284694,3305220,3318422,3399900,3510881,3617385,3609048
British_Columbia,65_years_and_older,749449,780496,812892,845515,877408,910405,945713,982576,1018096,1054174,1090768,1129229,1167246
